NAME                                              READY   STATUS         RESTARTS   AGE     IP              NODE              NOMINATED NODE   READINESS GATES
clearml-gpu-id-073f7936d8d541839c40e57eced45b64   1/1     Running        0          12m     10.244.4.55     kubepoweredge02   <none>           <none>
clearml-gpu-id-0f1a1f767e084e758b1d2cea8bc9cc1f   0/1     Pending        0          6m6s    <none>          <none>            <none>           <none>
clearml-gpu-id-0f2306ab463e4c6bb2859727cd66ddaf   1/1     Running        0          10m     10.244.12.112   kubepoweredge09   <none>           <none>
clearml-gpu-id-13a9377af41449699f0cba89399f25b2   1/1     Running        0          10m     10.244.2.54     kubepoweredge01   <none>           <none>
clearml-gpu-id-153de1aae48047069d04e2fd07f2dec4   1/1     Running        0          10m     10.244.4.59     kubepoweredge02   <none>           <none>
clearml-gpu-id-1831000f21f846d28a378b564c9e8dd9   1/1     Running        0          10m     10.244.4.58     kubepoweredge02   <none>           <none>
clearml-gpu-id-184aa7d7d571479b869c969830e5f603   0/1     Pending        0          4m55s   <none>          <none>            <none>           <none>
clearml-gpu-id-1af75561bc1244059ae3dce8a0388a54   1/1     Running        0          11m     10.244.11.36    kubepoweredge07   <none>           <none>
clearml-gpu-id-1bf085d22779406995806862c0cda1f6   0/1     Pending        0          5m50s   <none>          <none>            <none>           <none>
clearml-gpu-id-24d65019c0954e0da5fc9a5e984bc07c   0/1     Pending        0          4m3s    <none>          <none>            <none>           <none>
clearml-gpu-id-2a64fe8f38e34d4daaf83d15262c7d9d   1/1     Running        0          7m54s   10.244.5.17     kubepoweredge12   <none>           <none>
clearml-gpu-id-307c03eb3bb4463c9cb552500850aae5   1/1     Running        0          10m     10.244.11.37    kubepoweredge07   <none>           <none>
clearml-gpu-id-3655d1260b544dc0875e4a7461e527d1   0/1     Pending        0          52s     <none>          <none>            <none>           <none>
clearml-gpu-id-39d264584db44d309d140eec81fe6763   1/1     Running        0          11m     10.244.11.34    kubepoweredge07   <none>           <none>
clearml-gpu-id-3b9a84ab0bba48d38270c7df0ea19515   0/1     Pending        0          7m      <none>          <none>            <none>           <none>
clearml-gpu-id-409eb20075014f7cadc7bbc2e4801e80   1/1     Running        0          11m     10.244.7.89     kubepoweredge04   <none>           <none>
clearml-gpu-id-4216af820e7b43dcac46506c8f342954   0/1     Pending        0          4m39s   <none>          <none>            <none>           <none>
clearml-gpu-id-42c9aafd1c4545acb938d2fe5b3d80a3   0/1     Pending        0          69s     <none>          <none>            <none>           <none>
clearml-gpu-id-43a3f165312844cb984e41795d8d8981   0/1     Pending        0          6m1s    <none>          <none>            <none>           <none>
clearml-gpu-id-44d1cc0d0ee54531a6b818a7bbb0ef15   1/1     Running        0          11m     10.244.11.35    kubepoweredge07   <none>           <none>
clearml-gpu-id-44fb7189969e46cdae2fb80e4fe97915   0/1     Pending        0          3m30s   <none>          <none>            <none>           <none>
clearml-gpu-id-45560e375ca44857a5b6dd8f7f84668b   0/1     Pending        0          119s    <none>          <none>            <none>           <none>
clearml-gpu-id-481c24b309274227aa7aeabdd1aeeb9f   1/1     Running        0          15m     10.244.7.85     kubepoweredge04   <none>           <none>
clearml-gpu-id-4d533d9c905d491f89fba228472f1f1a   1/1     Running        0          8m41s   10.244.13.86    kubepoweredge08   <none>           <none>
clearml-gpu-id-51508257d0f6496685e269401588cd1e   1/1     Running        0          7m27s   10.244.5.18     kubepoweredge12   <none>           <none>
clearml-gpu-id-51cf8993a7184b8090c1eec77a1b0a9b   0/1     Pending        0          5m55s   <none>          <none>            <none>           <none>
clearml-gpu-id-56c00040494b461d9f09b7f76a88bdb1   0/1     Pending        0          3m13s   <none>          <none>            <none>           <none>
clearml-gpu-id-56ff238cae4040569e4359d899ea883f   1/1     Running        0          12m     10.244.8.4      kubepoweredge05   <none>           <none>
clearml-gpu-id-5a6902289b9b461ebbb4764215c8ee2c   0/1     Pending        0          3m31s   <none>          <none>            <none>           <none>
clearml-gpu-id-5ee167039ea844bd84bedbfd181c77e7   1/1     Running        0          10m     10.244.14.2     kubepoweredge11   <none>           <none>
clearml-gpu-id-60ed21fb9f7f4eaf9c4c074f0bf5776a   0/1     Pending        0          53s     <none>          <none>            <none>           <none>
clearml-gpu-id-66f2c783029e400688c95b2eade27e3e   1/1     Running        0          15m     10.244.13.85    kubepoweredge08   <none>           <none>
clearml-gpu-id-6918aca2011f44948d2321c513583959   0/1     Pending        0          4m32s   <none>          <none>            <none>           <none>
clearml-gpu-id-72b86693f01e446bab14feac4f937742   0/1     Pending        0          5m44s   <none>          <none>            <none>           <none>
clearml-gpu-id-73efa37d8015473fad228599f8c5cfe1   1/1     Running        0          13m     10.244.12.111   kubepoweredge09   <none>           <none>
clearml-gpu-id-77b0b2db4d254e76a1cc891daf109248   1/1     Running        0          10m     10.244.9.23     kubepoweredge10   <none>           <none>
clearml-gpu-id-7af4244a9a55448abcc91790dea9a05d   0/1     Pending        0          5m7s    <none>          <none>            <none>           <none>
clearml-gpu-id-7b655311fd5b418d854404664ef0cdce   1/1     Running        0          8m20s   10.244.5.15     kubepoweredge12   <none>           <none>
clearml-gpu-id-7edf85741fa940acbfa29653856acb60   1/1     Running        0          13m     10.244.4.54     kubepoweredge02   <none>           <none>
clearml-gpu-id-872510c51af54da4944fb6b1de8b657f   1/1     Running        0          7m      10.244.5.19     kubepoweredge12   <none>           <none>
clearml-gpu-id-87da8250c68d4bdda0353cf020654101   1/1     Running        0          7m33s   10.244.10.110   kubepoweredge06   <none>           <none>
clearml-gpu-id-8a9f7d83397747f584e9d51c00b0371c   1/1     Running        0          15m     10.244.9.20     kubepoweredge10   <none>           <none>
clearml-gpu-id-8ac602b03e4f4d37a46a7ac6d3a553be   0/1     Pending        0          4m6s    <none>          <none>            <none>           <none>
clearml-gpu-id-917efb193b7d44f99c152b341fd9aec0   0/1     Pending        0          5m13s   <none>          <none>            <none>           <none>
clearml-gpu-id-9258e22a223b45bcae4b0793aaadf3fa   0/1     Pending        0          3m47s   <none>          <none>            <none>           <none>
clearml-gpu-id-98e9cb5399f442ec86b439c59919ec42   0/1     Pending        0          4m56s   <none>          <none>            <none>           <none>
clearml-gpu-id-99acd1f31a9f4d47899c4cb2b035d6e8   0/1     Pending        0          115s    <none>          <none>            <none>           <none>
clearml-gpu-id-9c27042fb41d452f81c0b458739480aa   0/1     Pending        0          6m18s   <none>          <none>            <none>           <none>
clearml-gpu-id-9cde176dd60043648114a621ceba53e0   1/1     Running        0          10m     10.244.3.73     kubepoweredge03   <none>           <none>
clearml-gpu-id-a40d3aaf290d415db151802f5463ef0b   1/1     Running        0          14m     10.244.9.21     kubepoweredge10   <none>           <none>
clearml-gpu-id-a435e38830ae4664b7904a447ff73b59   0/1     Pending        0          7m      <none>          <none>            <none>           <none>
clearml-gpu-id-a576603be4704ab9a7eae7677da1028f   1/1     Running        0          15m     10.244.14.252   kubepoweredge11   <none>           <none>
clearml-gpu-id-af25cecb9365491eb98e92fb6769d662   1/1     Running        0          12m     10.244.3.71     kubepoweredge03   <none>           <none>
clearml-gpu-id-b066707f08c049e8a7c9937c0c45c754   0/1     Pending        0          51s     <none>          <none>            <none>           <none>
clearml-gpu-id-b37340b34f3043e9b28a8fd03a426db0   1/1     Running        0          11m     10.244.14.254   kubepoweredge11   <none>           <none>
clearml-gpu-id-b6313ac817b94ad698bf47a238261136   1/1     Running        0          10m     10.244.3.72     kubepoweredge03   <none>           <none>
clearml-gpu-id-b8b11ed94e9d47d39df47963557be268   1/1     Running        0          9m54s   10.244.7.90     kubepoweredge04   <none>           <none>
clearml-gpu-id-b9d7e928a61349ecbdbb2ff2e1c83939   1/1     Running        0          7m43s   10.244.10.108   kubepoweredge06   <none>           <none>
clearml-gpu-id-bb284b817f9d4c1f8563413f6e8c12ea   1/1     Running        0          14m     10.244.12.110   kubepoweredge09   <none>           <none>
